start,end,path,degree
United States,Homunculus,United States->Stroke->Cerebral cortex->Homunculus,3
Donald Trump,Homunculus,Donald Trump->Nikita Khrushchev->Heredity->Homunculus,3
Barack Obama,Homunculus,Barack Obama->Nikita Khrushchev->Heredity->Homunculus,3
India,Homunculus,India->Republic->Heredity->Homunculus,3
World War II,Homunculus,World War II->British Empire->John Dee->Homunculus,3
Michael Jackson,Homunculus,Michael Jackson->Off the Wall->Enlightenment (spiritual)->Homunculus,3
Sex,Homunculus,Sex->Sperm->Homunculus,2
United Kingdom,Homunculus,United Kingdom->British Empire->John Dee->Homunculus,3
Lady Gaga,Homunculus,Lady Gaga->Rajneesh->Enlightenment (spiritual)->Homunculus,3
Eminem,Homunculus,Eminem->Bipolar disorder->Cerebral cortex->Homunculus,3
The Beatles,Homunculus,The Beatles->Culture of the United Kingdom->John Dee->Homunculus,3
Adolf Hitler,Homunculus,Adolf Hitler->Charles Darwin->Heredity->Homunculus,3
Justin Bieber,Homunculus,Justin Bieber->Adolescence->Heredity->Homunculus,3
World War I,Homunculus,World War I->British Empire->John Dee->Homunculus,3
The Big Bang Theory,Homunculus,The Big Bang Theory->Intelligence quotient->Heredity->Homunculus,3
Steve Jobs,Homunculus,Steve Jobs->Lysergic acid diethylamide->Cerebral cortex->Homunculus,3
Canada,Homunculus,Canada->English overseas possessions->John Dee->Homunculus,3
Game of Thrones,Homunculus,Game of Thrones->Elizabeth R->John Dee->Homunculus,3
How I Met Your Mother,Homunculus,How I Met Your Mother->Fictive kinship->Heredity->Homunculus,3
Academy Awards,Homunculus,Academy Awards->Oscar love curse->Mooncalf->Homunculus,3
Lil Wayne,Homunculus,Lil Wayne->Epilepsy->Cerebral cortex->Homunculus,3
Kim Kardashian,Homunculus,Kim Kardashian->Public relations->Critical theory->Enlightenment (spiritual)->Homunculus,4
Australia,Homunculus,Australia->British Empire->John Dee->Homunculus,3
Cristiano Ronaldo,Homunculus,Cristiano Ronaldo->Surname->Heredity->Homunculus,3
Miley Cyrus,Homunculus,Miley Cyrus->Mamma Mia!->The 25th Annual Putnam County Spelling Bee->Homunculus,3
Elizabeth II,Homunculus,Elizabeth II->Cousin->Heredity->Homunculus,3
List of Presidents of the United States,Homunculus,List of Presidents of the United States->Donald Trump->Darrell Hammond->The 25th Annual Putnam County Spelling Bee->Homunculus,4
Harry Potter,Homunculus,Harry Potter->Black magic->John Dee->Homunculus,3
Rihanna,Homunculus,Rihanna->Cancer->Heredity->Homunculus,3
Japan,Homunculus,Japan->Entertainment->Motor skill->Homunculus,3
Selena Gomez,Homunculus,Selena Gomez->The Fundamentals of Caring->Duchenne muscular dystrophy->Motor skill->Homunculus,4
Glee (TV series),Homunculus,Glee (TV series)->Dyslexia->Cerebral cortex->Homunculus,3
Germany,Homunculus,Germany->Arthur Schopenhauer->Heredity->Homunculus,3
The Walking Dead (TV series),Homunculus,The Walking Dead (TV series)->Simon Callow->Shoebox Zoo->Homunculus,3
Abraham Lincoln,Homunculus,Abraham Lincoln->John Locke->Pirsig's metaphysics of Quality->Homunculus,3
Taylor Swift,Homunculus,Taylor Swift->Cancer->Heredity->Homunculus,3
Star Wars,Homunculus,Star Wars->Cartoon Network->The Life and Times of Juniper Lee->Homunculus,3
China,Homunculus,China->Chinese alchemy->Waidan->Homunculus,3
Lionel Messi,Homunculus,Lionel Messi->Surname->Heredity->Homunculus,3
Breaking Bad,Homunculus,Breaking Bad->Cerebral palsy->Heredity->Homunculus,3
Johnny Depp,Homunculus,Johnny Depp->Western (genre)->Enlightenment (spiritual)->Homunculus,3
New York City,Homunculus,New York City->British Empire->John Dee->Homunculus,3
Tupac Shakur,Homunculus,Tupac Shakur->Sun Tzu->Enlightenment (spiritual)->Homunculus,3
France,Homunculus,France->British Empire->John Dee->Homunculus,3
Kanye West,Homunculus,Kanye West->Meme->Heredity->Homunculus,3
Russia,Homunculus,Russia->Literary realism->Heredity->Homunculus,3
Stephen Hawking,Homunculus,Stephen Hawking->Joseph Larmor->Edgar Adrian->Homunculus,3
Albert Einstein,Homunculus,Albert Einstein->Edgar Adrian->Homunculus,2
Earth,Homunculus,Earth->Geocentric model->Superseded scientific theories->Homunculus,3
Mark Zuckerberg,Homunculus,Mark Zuckerberg->Nikita Khrushchev->Heredity->Homunculus,3
