title,indeg
United States,462672
Donald Trump,8397
Barack Obama,16991
India,166727
World War II,130265
Michael Jackson,7365
Sex,1138
United Kingdom,205651
Lady Gaga,3972
Eminem,3951
The Beatles,11198
Adolf Hitler,9305
Justin Bieber,2622
World War I,62908
The Big Bang Theory,1316
Steve Jobs,1343
Canada,167638
Game of Thrones,1992
How I Met Your Mother,1379
Academy Awards,6557
Lil Wayne,2709
Kim Kardashian,623
Australia,150745
Cristiano Ronaldo,1790
Miley Cyrus,1984
Elizabeth II,9658
List of Presidents of the United States,3053
Harry Potter,1640
Rihanna,4465
Japan,138017
Selena Gomez,1200
Glee (TV series),2342
Germany,185005
The Walking Dead (TV series),1336
Abraham Lincoln,7887
Taylor Swift,3029
Star Wars,4124
China,98355
Lionel Messi,1620
Breaking Bad,1366
Johnny Depp,1807
New York City,109240
Tupac Shakur,1424
France,219355
Kanye West,4184
Russia,118938
Stephen Hawking,1422
Albert Einstein,4098
Earth,9509
Mark Zuckerberg,708
